Date,ASIANPAINT,BAJFINANCE,HDFCBANK,HINDUNILVR,ICICIBANK,INFY,LT,NTPC,RELIANCE,TCS
2015-12-01,720255,4725100,1895332,1404347,6603705,5898550,1377124,1776526,12981379,1721994
2015-12-02,980956,2736400,2562284,983626,7161062,6397616,1781221,1556103,7573628,1640296
2015-12-03,540473,1828000,3807712,680102,8549273,5504726,1776231,2710232,11361395,2283358
2015-12-04,779530,1700300,5859828,1445988,9085607,8375530,2201155,2029555,13443688,1246092
2015-12-07,1602605,1933400,5814808,1273142,5522740,4513870,1649014,3599509,14483909,1382604
2015-12-08,1058074,2675900,4902660,1136199,11624224,5724372,2217838,2817922,7532164,1139964
2015-12-09,751034,7183900,3890616,1028736,8129762,6818254,3327682,4174069,9174419,5282806
2015-12-10,636140,1871200,6514340,1144862,11053207,5587746,2893311,4689330,18592203,1723988
2015-12-11,780634,2803200,3033920,1214169,18851171,5390198,4114018,7819576,18155513,1652378
2015-12-14,889790,2855800,5878016,1307321,13279719,4816672,4010256,3892008,10563900,2718532
2015-12-15,861784,3295800,4557416,2303845,13675557,5431808,3333246,2294697,15718833,1135868
2015-12-16,900351,4391200,6842768,1101128,18885293,5495852,3351052,2827382,12097338,1435934
2015-12-17,716229,9175600,4878012,1214526,17692297,4958782,3764286,5617645,19369032,1618844
2015-12-18,1098597,6464500,3172128,2114632,14450734,7219820,3934995,7227156,16016139,3024970
2015-12-21,896692,3788400,3097500,1112136,14307700,4331012,1760169,2724703,12331769,1610104
2015-12-22,663204,2572900,2429536,913032,21342967,4109254,2622499,5186119,11579277,1560858
2015-12-23,350212,2848900,3013968,770192,11533960,2870928,2420179,2906598,12919467,849834
2015-12-24,403140,2460600,2146352,538736,6097366,1230054,2227447,2214117,11901877,843160
2015-12-28,633270,902100,7755428,976331,12041784,5526952,2357763,6195141,12885935,3704198
2015-12-29,602111,3623100,4231612,754046,9054719,3345062,2280091,11830292,14913870,1708524
2015-12-30,450359,3829300,2112560,677471,10025565,5153970,1811727,7060556,8151610,1605762
2015-12-31,526825,5519300,9290008,743363,8546444,7943938,2324868,6167425,18483713,1240318
2016-01-01,294006,3039400,3195076,230366,5998096,1806550,1127733,1087959,5416562,712262
2016-01-04,709103,4072000,5187536,828876,9435792,3975362,2767263,1660154,30170947,1870184
2016-01-05,1372748,5112000,3160872,1118709,8966977,4949786,2470134,2183413,14946239,2678020
2016-01-06,1716479,3460100,4165536,2135092,17416181,5588328,2728635,2555581,26759864,2653228
2016-01-07,990333,7822900,6055428,1353969,18240712,5294088,4689760,4397205,19739943,3199580
2016-01-08,886022,10350700,3488356,1324046,14404391,3156716,5356012,5000222,21313199,1907544
2016-01-11,801102,5324000,3288912,1514504,14208668,5360622,4304283,9595707,29016443,2930228
2016-01-12,998419,5845200,4258736,1110037,11895899,6565212,4095195,5331380,23373377,3482594
2016-01-13,901426,10359400,4515148,1338356,18215710,8751294,5619939,6335397,71802356,4746092
2016-01-14,2296682,5575400,6279184,1531002,14600781,30227006,5099718,2617408,27823189,2742052
2016-01-15,1301590,4152700,5417260,3249884,22333902,13036614,3987867,5813482,28767318,3269408
2016-01-18,2335330,11221300,6495388,1525578,30239009,10066612,4166632,7094769,27254669,2213922
2016-01-19,2443365,6370100,6405212,867289,16222439,7500436,4372536,3276105,21489315,967910
2016-01-20,2247202,9801800,9563588,1543575,14353478,7507998,5856754,4893918,45114225,1615954
2016-01-21,1138753,7095800,6300804,1679165,15665863,6743000,3802062,3672420,31768619,2675536
2016-01-22,1774017,5613300,4236284,1465143,15148522,6436018,3694869,4081641,23682648,1343178
2016-01-25,1794107,4681400,10143884,1036869,17137268,4579262,2472816,3248101,13099564,1397560
2016-01-27,969509,3929500,4039468,1291178,12155561,6971962,2618145,6462206,17251028,1626986
2016-01-28,1392051,6951900,9951972,1967418,24258166,7788598,5794726,10947943,23074633,3106660
2016-01-29,1320575,3596300,5360184,1733695,47755494,10232108,4848987,9604422,19177163,2235744
2016-02-01,786217,3292700,4609484,1025869,40395715,4251126,7053951,4772776,9918809,1495274
2016-02-02,920875,7836400,6528628,960236,31821419,7632702,4505643,5540090,14771279,1475588
2016-02-03,540771,51682900,4850244,1843081,23592288,5245966,3731595,5409084,15691478,1308692
2016-02-04,1658831,13885700,5675992,1698770,30869158,5549346,5956549,8947989,18203784,1250046
2016-02-05,1739178,23956600,7523904,2043434,36189377,3984224,4000879,2917293,20998404,1402996
2016-02-08,783143,10352100,3481924,490426,19366081,4221044,2539246,2578603,12078110,1063658
2016-02-09,636386,9211800,5535460,964658,20906682,7579572,2523124,2829949,19603494,2489610
2016-02-10,707101,7918000,7682280,781041,22742128,5866054,3203877,3106880,16883350,1890732
2016-02-11,1004015,11069400,8803600,1010277,31817116,5214378,4395021,2946543,17114833,1962408
2016-02-12,1089266,14716300,12542144,1318480,41775526,7408096,6160240,4086475,29319458,2172568
2016-02-15,703958,9653700,10912960,1206980,34130349,5093478,5939226,4458290,19283523,2479712
2016-02-16,985215,6572000,7136096,926079,20895952,5125448,3548740,6067938,13024856,1588702
2016-02-17,1171983,6671700,7503924,783633,28792115,4164598,3479412,4187010,15442221,1585178
2016-02-18,997874,3276500,6799856,1179011,32260277,4189072,5457168,2623275,14433087,1529140
